Title,Description,Sentiment,Source,Link,Time
"Ethereum price set to test $2,250 before ETH moves even lower",Ethereum price action may complete a move that has only occurred twice in its history. Ethereum... ,neutral,The Forex Market,https://www.fxstreet.com/cryptocurrencies/news/ethereum-price-set-to-test-2-250-before-eth-moves-even-lower-202205090017,7 hours ago
Crypto Crash: Why is cryptocurrency market crashing? Check top 10 crypto prices today,Crypto Crash: Here's why global cryptocurrency market is crashing? Check top 10 crypto prices today... ,negative,MSN News,https://www.msn.com/en-in/money/markets/crypto-crash-why-is-cryptocurrency-market-crashing-check-top-10-crypto-prices-today/ar-AAX3MB3,26 minutes ago
Crypto Prices Slump Further Over Weekend. Will Crypto Crash Continue?,"Crypto prices continued to drop this weekend, wiping over $200 billion off the total market cap in... ",negative,Motley Fool,https://www.fool.com/the-ascent/cryptocurrency/articles/crypto-prices-slump-further-over-weekend-will-crypto-crash-continue/?source=eptyholnk0000202&utm_source=yahoo-host&utm_medium=feed&utm_campaign=article&yptr=yahoo,7 hours ago
"ETH Heads Top Holdings, Are HODLers Prepping for a Big Pump? By CoinQuora","Analysts predicted that the ETH price could reach more than $12,000. Are the holders bracing... ",neutral,Investing.com,https://www.investing.com/news/cryptocurrency-news/eth-heads-top-holdings-are-hodlers-prepping-for-a-big-pump-2818158,4 days ago
"$2,700 ETH Support Level Holds Strong and May Continue To Hold By CoinQuora","There may not be enough sell pressure for ETH to drop below $2,700 as the support level holds strong... ",negative,Investing.com,https://www.investing.com/news/cryptocurrency-news/2700-eth-support-level-holds-strong-and-may-continue-to-hold-2819621,3 days ago
ETH Whale Wallet ‘Bonobo’ Acquires $3.2M APE,ETH Whale Wallet ‘Bonobo’ Acquires $3.2M APE ,neutral,Investing.com,https://in.investing.com/news/eth-whale-wallet-bonobo-acquires-32m-ape-3191907,2 days ago
"‘Smart money’ is staking ETH on rocket pool and selling ENS, Nansen data suggests",Highly successful cryptocurrency traders have been staking their ether (ETH) on the Rocket Pool... ,positive,The Forex Market,https://www.fxstreet.com/cryptocurrencies/news/smart-money-is-staking-eth-on-rocket-pool-and-selling-ens-nansen-data-suggests-202205040502,5 days ago
"Robinhood Lists 2 New Bitcoin (BTC), Ethereum (ETH) Products - Benzinga",Popular retail brokerage Robinhood Markets Inc (NASDAQ: HOOD) has listed two new cryptocurrency products. ,neutral,Benzinga,https://www.benzinga.com/markets/cryptocurrency/22/05/27067497/robinhood-lists-two-new-bitcoin-and-ethereum-products,21 minutes ago
Forex Today: Dollar benefits from risk aversion to start the week,The risk-averse market atmosphere is helping the dollar find demand as a safe haven at the start of... ,negative,The Forex Market,https://www.fxstreet.com/news/forex-today-dollar-benefits-from-risk-aversion-to-start-the-week-202205090642,25 minutes ago
Understanding staking pools: The pros and cons of staking cryptocurrency,"A staking pool is a tool that allows multiple crypto token holders to pool in their tokens, thereby... ",neutral,The Forex Market,https://www.fxstreet.com/cryptocurrencies/news/understanding-staking-pools-the-pros-and-cons-of-staking-cryptocurrency-202205090238,4 hours ago
"ETH Co-founder Buterin Says L2 Transaction Fees Not Acceptable, Proposes Ambitious Ethereum Fee",Ethereum blockchain co-founder Vitalik Buterin said the current Layer-2 transaction fees are not... ,neutral,International Business Times,https://www.ibtimes.com/eth-co-founder-buterin-says-l2-transaction-fees-not-acceptable-proposes-ambitious-3493707,5 days ago
Vitalik: L2 transaction fees need to be under 5c to be 'truly acceptable',Ethereum (ETH) co-founder Vitalik Buterin believes that Layer-2 transaction fees need to be under... ,neutral,The Cointelegraph,https://cointelegraph.com/news/vitalik-l2-transaction-fees-need-to-be-under-5c-to-be-truly-acceptable,5 days ago
"Logan Paul’s 99 Originals NFT auction begins soon, how to bid","Jake Paul's 99 Originals NFT auction is set to begin tomorrow, May 9. Here is how to take part in... ",neutral,MSN News,https://www.msn.com/en-us/news/other/logan-paul-s-99-originals-nft-auction-begins-soon-how-to-bid/ar-AAX2Rcb?li=BB15ms5q,12 hours ago
Bitcoin And Ethereum Are At Risk Of Capitulation | Investing.com,Bitcoin and Ethereum are indicating that they could experience capitulations as they lose critical... ,negative,Investing.com,https://www.investing.com/analysis/bitcoin-and-ethereum-are-at-risk-of-capitulation-200623729,3 hours ago
How Can the Rise in Fuel Price Be Turned Into a Good Investment?,The oil industry has had a chaotic two years. Crude oil prices were down early in the COVID-19... ,negative,NewsBTC,https://www.newsbtc.com/news/company/how-can-the-rise-in-fuel-price-be-turned-into-a-good-investment/,33 minutes ago
